Pokemon,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type1,Type2
Mawile,50,85,85,55,55,50,steel,fairy
Medicham,60,60,75,60,75,80,fighting,psychic
Meganium,80,82,100,83,100,80,grass,
Mesprit,80,105,105,105,105,80,psychic,
Metagross,80,135,130,95,90,70,steel,psychic
Milotic,95,60,79,100,125,81,water,
Miltank,95,80,105,40,70,100,normal,
Mismagius,60,60,60,105,105,105,ghost,
Moltres,90,100,90,125,85,90,fire,flying
Muk,105,105,75,65,100,50,poison,
Murkrow,60,85,42,85,42,91,dark,flying
Nidoking,81,102,77,85,75,85,poison,ground
Nidoqueen,90,92,87,75,85,76,poison,ground
Ninetales,73,76,75,81,100,100,fire,
Ninjask,61,90,45,50,50,160,bug,flying
Octillery,75,105,75,105,75,45,water,
Omastar,70,60,125,115,70,55,rock,water
Persian,65,70,60,65,65,115,normal,
Phione,80,80,80,80,80,80,water,
Pikachu,35,55,40,50,50,90,electric,
Pinsir,65,125,100,55,70,85,bug,
Politoed,90,75,75,90,100,70,water,
Poliwrath,90,95,95,70,90,70,water,fighting
Porygon-Z,85,80,70,135,75,90,normal,
Porygon2,85,80,90,105,95,60,normal,
Primeape,65,105,60,60,70,95,fighting,
Probopass,60,55,145,75,150,40,rock,steel
Purugly,71,82,64,64,59,112,normal,
Quagsire,95,85,85,65,65,35,water,ground
Qwilfish,65,95,85,55,55,85,water,poison
Raichu,60,90,55,90,80,110,electric,
Raikou,90,85,75,115,100,115,electric,
Rampardos,97,165,60,65,50,58,rock,
Rapidash,65,100,70,80,80,105,fire,
Raticate,55,81,60,50,70,97,normal,
Rattata,30,56,35,25,35,72,normal,
Regice,80,50,100,100,200,50,ice,
Regigigas,110,160,110,80,110,100,normal,
Regirock,80,100,200,50,100,50,rock,
Registeel,80,75,150,75,150,50,steel,
Relicanth,100,90,130,45,65,55,water,rock
Rhyperior,115,140,130,55,55,40,ground,rock
Roserade,60,70,65,125,105,90,grass,poison
Rotom,50,50,77,95,77,91,electric,ghost
Rotom-Fan,50,65,107,105,107,86,electric,flying
Rotom-Frost,50,65,107,105,107,86,electric,ice
Rotom-Heat,50,65,107,105,107,86,electric,fire
Rotom-Mow,50,65,107,105,107,86,electric,grass
Rotom-Wash,50,65,107,105,107,86,electric,water
Sableye,50,75,75,65,65,50,dark,ghost
Sceptile,70,85,65,105,85,120,grass,
Scizor,70,130,100,55,80,65,bug,steel
Scyther,70,110,80,55,80,105,bug,flying
Seaking,80,92,65,65,80,68,water,
Sharpedo,70,120,40,95,40,95,water,dark
Sharpedo,70,120,40,95,40,95,water,dark
Shedinja,1,90,45,30,30,40,bug,ghost
Shiftry,90,100,60,90,60,80,grass,dark
Shuckle,20,10,230,10,230,5,bug,rock
Skarmory,65,80,140,40,70,70,steel,flying
Skuntank,103,93,67,71,61,84,poison,dark
Slaking,150,160,100,95,65,100,normal,
Slowbro,95,75,110,100,80,30,water,psychic
Slowking,95,75,80,100,110,30,water,psychic
Smeargle,55,20,35,20,45,75,normal,
Sneasel,55,95,55,35,75,115,dark,ice
Snorlax,160,110,65,65,110,30,normal,
Snover,60,62,50,62,60,40,grass,ice
Spiritomb,50,92,108,92,108,35,ghost,dark
Stantler,73,95,62,85,65,85,normal,
Staraptor,85,120,70,50,60,100,normal,flying
Starmie,60,75,85,100,85,115,water,psychic
Steelix,75,85,200,55,65,30,steel,ground
Suicune,100,75,115,90,115,85,water,
Swalot,100,73,83,73,83,55,poison,
Swampert,100,110,90,85,90,60,water,ground
Swellow,60,85,60,75,50,125,normal,flying
Tangrowth,100,100,125,110,50,50,grass,
Tauros,75,100,95,40,70,110,normal,
Tentacruel,80,70,65,80,120,100,water,poison
Togekiss,85,50,95,120,115,80,fairy,flying
Torkoal,70,85,140,85,70,20,fire,
Torterra,95,109,105,75,85,56,grass,ground
Toxicroak,83,106,65,86,65,85,poison,fighting
Tropius,99,68,83,72,87,51,grass,flying
Typhlosion,78,84,78,109,85,100,fire,
Tyranitar,100,134,110,95,100,61,rock,dark
Umbreon,95,65,110,60,130,65,dark,
Ursaring,90,130,75,75,75,55,normal,
Uxie,75,75,130,75,130,95,psychic,
Vaporeon,130,65,60,110,95,65,water,
Venomoth,70,65,60,90,75,90,bug,poison
Venusaur,80,82,83,100,100,80,grass,poison
Victreebel,80,105,65,100,70,70,grass,poison
Vileplume,75,80,85,110,90,50,grass,poison
Wailord,170,90,45,90,45,60,water,
Walrein,110,80,90,95,90,65,ice,water
Weavile,70,120,65,45,85,125,dark,ice
Weezing,65,90,120,85,70,60,poison,
Whiscash,110,78,73,76,71,60,water,ground
Wormadam-Trash,60,69,95,69,95,36,bug,steel
Xatu,65,75,70,95,70,95,psychic,flying
Yanmega,86,76,86,116,56,95,bug,flying
Zapdos,90,90,85,125,90,100,electric,flying
Zigzagoon,38,30,41,30,41,60,normal,
